,Symbol,Company_Name,Industry,Market_Cap_Millions
4616,QLYS,Qualys,Software,4810
4617,QMCO,Quantum,"Technology Hardware, Storage & Periph...",133
4618,QNGY,Quanergy Systems,Scientific & Technical Instruments,30
4619,QNRX,Quoin Pharmaceuticals,Biotechnology,4
4620,QNST,QuinStreet,Interactive Media & Services,592
4621,QRHC,Quest Resource Holding,Commercial Services & Supplies,77
4622,QRTEA,Qurate Retail,Internet & Direct Marketing Retail,906
4623,QRTEB,Qurate Retail,Internet & Direct Marketing Retail,906
4624,QRVO,Qorvo,Semiconductors & Semiconductor Equipment,10390
4625,QS,QuantumScape,Auto Components,4320
4626,QSI,Quantum-Si,Biotechnology,401
4627,QSR,Restaurant Brands International,"Hotels, Restaurants & Leisure",23420
4628,QTEK,QualTek Services,Telecom Services,27
4629,QTNT,Quotient,Health Care Equipment & Supplies,37
4630,QTRX,Quanterix,Life Sciences Tools & Services,664
4631,QTT,Qutoutiao,Interactive Media & Services,33
4632,QTWO,Q2 Holdings,Software,2250
4633,QUAD,Quad/Graphics,Commercial Services & Supplies,154
4634,QUBT,Quantum Computing,Computer Hardware,81
4635,QUIK,QuickLogic,Semiconductors & Semiconductor Equipment,92
4636,QUMU,Qumu Corporation,Software,14
4637,QUOT,Quotient Technology,Internet & Direct Marketing Retail,277
4638,QURE,uniQure,Biotechnology,1100
4639,R,Ryder System,Road & Rail,3710
4640,RAAS,Cloopen Group Holding,Software-Application,166
4641,RACB,Research Alliance II,Blank Check / SPAC,187
4642,RACE,Ferrari,Automobiles,35370
4643,RACY,Relativity Acquisition,Blank Check / SPAC,186
4644,RAD,Rite Aid,Food & Staples Retailing,372
4645,RADA,RADA Electronic Industries,Aerospace & Defense,498
4646,RADI,Radius Global Infrastructure,Telecom Services,1320
4647,RAIL,FreightCar America,Machinery,59
4648,RAIN,Rain Therapeutics,Biotechnology,150
4649,RAM,Aries I Acquisition,Blank Check / SPAC,182
4650,RAMP,LiveRamp Holdings,IT Services,1810
4651,RAND,Rand Capital,Capital Markets,36
4652,RANI,Rani Therapeutics Holdings,Biotechnology,671
4653,RAPT,Rapt Therapeutics,Biotechnology,619
4654,RARE,Ultragenyx Pharmaceutical,Biotechnology,4530
4655,RAVE,Rave Restaurant Group,"Hotels, Restaurants & Leisure",23
4656,RBA,Ritchie Bros. Auctioneers,Commercial Services & Supplies,7510
4657,RBAC,RedBall Acquisition,Blank Check / SPAC,717
4658,RBB,RBB Bancorp,Banks,402
4659,RBBN,Ribbon Communications,Communications Equipment,487
4660,RBCAA,Republic Bancorp,Banks,973
4661,RBCN,Rubicon Technology,Semiconductors & Semiconductor Equipment,38
4662,RBKB,Rhinebeck Bancorp,Thrifts & Mortgage Finance,102
4663,RBLX,Roblox,Entertainment,23590
4664,RBOT,Vicarious Surgical,Medical Devices,415
4665,RC,Ready Capital,Mortgage Real Estate Investment Trust...,1440
4666,RCAC,Revelstone Capital Acquisition,Blank Check / SPAC,202
4667,RCAT,Red Cat Holdings,Computer Hardware,113
4668,RCEL,AVITA Medical,Biotechnology,138
4669,RCFA,RCF Acquisition,Blank Check / SPAC,285
4670,RCHG,Recharge Acquisition,Blank Check / SPAC,251
4671,RCI,Rogers Communications,Wireless Telecommunication Services,22890
4672,RCII,Rent-A-Center,Specialty Retail,1260
4673,RCKT,Rocket Pharmaceuticals,Biotechnology,1060
4674,RCKY,Rocky Brands,"Textiles, Apparel & Luxury Goods",258
4675,RCL,Royal Caribbean Cruises,"Hotels, Restaurants & Leisure",8350
4676,RCLF,Rosecliff Acquisition I,Blank Check / SPAC,310
4677,RCM,R1 RCM,Health Care Providers & Services,6560
4678,RCMT,RCM Technologies,Professional Services,182
4679,RCON,Recon Technology,Energy Equipment & Services,22
4680,RCOR,Renovacor,Biotechnology,34
4681,RCRT,Recruiter.com Group,Staffing & Employment Services,18
4682,RCUS,Arcus Biosciences,Biotechnology,2080
4683,RDBX,Redbox Entertainment,Entertainment,198
4684,RDCM,RADCOM,Communications Equipment,163
4685,RDFN,Redfin,Real Estate Management & Development,936
4686,RDHL,RedHill Biopharma,Pharmaceuticals,50
4687,RDI,Reading International,Entertainment,110
4688,RDIB,Reading International,Entertainment,110
4689,RDN,Radian Group,Thrifts & Mortgage Finance,3610
4690,RDNT,RadNet,Health Care Providers & Services,1070
4691,RDUS,Radius Health,Biotechnology,482
4692,RDVT,Red Violet,Professional Services,274
4693,RDW,Redwire,Aerospace & Defense,205
4694,RDWR,Radware,Communications Equipment,965
4695,RDY,Dr. Reddy's Laboratories,Pharmaceuticals,9490
4696,RE,Everest Re Group,Insurance,10380
4697,REAL,The RealReal,Internet & Direct Marketing Retail,230
4698,REAX,The Real Brokerage,Real Estate Services,267
4699,REE,REE Automotive,Recreational Vehicles,302
4700,REED,Reed's,Beverages,17
4701,REFI,Chicago Atlantic Real Estate Finance,REIT-Mortgage,256
4702,REFR,Research Frontiers,"Electronic Equipment, Instruments & C...",52
4703,REG,Regency Centers,Equity Real Estate Investment Trusts ...,10420
4704,REGN,Regeneron Pharmaceuticals,Biotechnology,66740
4705,REI,Ring Energy,"Oil, Gas & Consumable Fuels",258
4706,REKR,Rekor Systems,Professional Services,85
4707,RELI,Reliance Global Group,Insurance Brokers,13
4708,RELL,Richardson Electronics,"Electronic Equipment, Instruments & C...",209
4709,RELX,Relx PLC,Professional Services,52610
4710,RELY,Remitly Global,Software-Infrastructure,1450
4711,RENE,Cartesian Growth Corporation II,Blank Check / SPAC,287
4712,RENN,Renren,Specialty Retail,709
4713,RENO,Renovare Environmental,Pollution & Treatment Controls,2
4714,RENT,Rent The Runway,Apparel Retail,239
4715,REPL,Replimune Group,Biotechnology,1010
4716,REPX,Riley Exploration Permian,"Oil, Gas & Consumable Fuels",466
4717,RERE,AiHuiShou International Co.,Internet Retail,651
4718,RES,"RPC, Inc.",Energy Equipment & Services,1350
4719,RETA,Reata Pharmaceuticals,Pharmaceuticals,1300
4720,RETO,ReTo Eco-Solutions,Construction Materials,26
4721,REV,Revlon,Personal Products,313
4722,REVB,Revelation Biosciences,Biotechnology,20
4723,REVE,Alpine Acquisition,Blank Check / SPAC,137
4724,REVG,REV Group,Machinery,651
4725,REVH,Revolution Healthcare Acquisition,Blank Check / SPAC,565
4726,REX,REX American Resources,"Oil, Gas & Consumable Fuels",531
4727,REXR,Rexford Industrial Realty,Equity Real Estate Investment Trusts ...,10140
4728,REYN,Reynolds Consumer Products,Packaging & Containers,5940
4729,REZI,Resideo Technologies,Building Products,2980
4730,RF,Regions Financial,Banks,17930
4731,RFAC,RF Acquisition,Blank Check / SPAC,135
4732,RFIL,RF Industries,"Electronic Equipment, Instruments & C...",64
4733,RFL,Rafael Holdings,Real Estate Management & Development,53
4734,RFP,Resolute Forest Products,Paper & Forest Products,1550
4735,RGA,Reinsurance Group of America,Insurance,7730
4736,RGC,Regencell Bioscience Holdings,Drug Manufacturers-Specialty & Generic,485
4737,RGCO,RGC Resources,Gas Utilities,200
4738,RGEN,Repligen,Life Sciences Tools & Services,9250
4739,RGF,Real Good Food Company,Packaged Foods,40
4740,RGLD,Royal Gold,Metals & Mining,6790
4741,RGLS,Regulus Therapeutics,Biotechnology,33
4742,RGNX,REGENXBIO,Biotechnology,1360
4743,RGP,Resources Connection,"Oil, Gas & Consumable Fuels",649
4744,RGR,"Sturm, Ruger & Company",Leisure Products,1110
4745,RGS,Regis,Diversified Consumer Services,49
4746,RGTI,Rigetti Computing,Computer Hardware,505
4747,RH,RH,Specialty Retail,6600
4748,RHE,Regional Health Properties,Health Care Providers & Services,7
4749,RHI,Robert Half International,Professional Services,8470
4750,RHP,Ryman Hospitality Properties,Equity Real Estate Investment Trusts ...,4320
4751,RIBT,RiceBran Technologies,Food Products,19
4752,RICK,RCI Hospitality Holdings,"Hotels, Restaurants & Leisure",489
4753,RIDE,Lordstown Motors,Automobiles,409
4754,RIG,Transocean,Energy Equipment & Services,1730
4755,RIGL,Rigel Pharmaceuticals,Biotechnology,225
4756,RILY,B. Riley Financial,Capital Markets,1200
4757,RIO,Rio Tinto,Metals & Mining,89790
4758,RIOT,Riot Blockchain,Software,753
4759,RIVN,Rivian Automotive,Automobiles,27920
4760,RJAC,Jackson Acquisition Company,Blank Check / SPAC,273
4761,RJF,Raymond James Financial,Capital Markets,19540
4762,RKDA,Arcadia Biosciences,Food Products,21
4763,RKLB,Rocket Lab USA,Aerospace & Defense,1830
4764,RKLY,Rockley Photonics Holdings,Semiconductors,300
4765,RKT,Rocket Companies,Thrifts & Mortgage Finance,17870
4766,RKTA,Rocket Internet Growth Opportunities,Blank Check / SPAC,327
4767,RL,Ralph Lauren,"Textiles, Apparel & Luxury Goods",6480
4768,RLAY,Relay Therapeutics,Biotechnology,2110
4769,RLGT,Radiant Logistics,Air Freight & Logistics,347
4770,RLI,RLI Corp.,Insurance,5100
4771,RLJ,RLJ Lodging Trust,Equity Real Estate Investment Trusts ...,1900
4772,RLMD,Relmada Therapeutics,Pharmaceuticals,673
4773,RLX,RLX Technology,Tobacco,2830
4774,RLYB,Rallybio,Biotechnology,294
4775,RM,Regional Management,Consumer Finance,384
4776,RMAX,RE/MAX Holdings,Real Estate Management & Development,777
4777,RMBI,Richmond Mutual Bancorporation,Banks,160
4778,RMBL,RumbleOn,Internet & Direct Marketing Retail,262
4779,RMBS,Rambus,Semiconductors & Semiconductor Equipment,2430
4780,RMCF,Rocky Mountain Chocolate Factory,Food Products,42
4781,RMD,ResMed,Health Care Equipment & Supplies,33550
4782,RMED,Ra Medical Systems,Health Care Equipment & Supplies,11
4783,RMGC,RMG Acquisition III,Blank Check / SPAC,592
4784,RMNI,Rimini Street,Software,533
4785,RMO,Romeo Power,Electrical Equipment,87
4786,RMR,The RMR Group,Real Estate Management & Development,458
4787,RMTI,Rockwell Medical,Health Care Equipment & Supplies,11
4788,RNA,Avidity Biosciences,Biotechnology,872
4789,RNAZ,TransCode Therapeutics,Biotechnology,17
4790,RNDB,Randolph Bancorp,Thrifts & Mortgage Finance,137
4791,RNER,Mount Rainier Acquisition,Blank Check / SPAC,222
4792,RNG,RingCentral,Software,4650
4793,RNGR,Ranger Energy Services,Energy Equipment & Services,233
4794,RNLX,Renalytix,Health Care Technology,99
4795,RNR,RenaissanceRe Holdings,Insurance,6060
4796,RNST,Renasant,Banks,1620
4797,RNW,ReNew Energy Global,Utilities-Renewable,2790
4798,RNWK,RealNetworks,Software,27
4799,RNXT,RenovoRx,Biotechnology,17
4800,ROAD,Construction Partners,Construction & Engineering,1090
4801,ROC,ROC Energy Acquisition,Blank Check / SPAC,268
4802,ROCC,Ranger Oil,Oil & Gas E&P,648
4803,ROCG,Roth CH Acquisition IV Co.,Blank Check / SPAC,147
4804,ROCK,Gibraltar Industries,Building Products,1320
4805,ROCL,Roth CH Acquisition V Co.,Blank Check / SPAC,146
4806,ROG,Rogers,"Electronic Equipment, Instruments & C...",4960
4807,ROIC,Retail Opportunity Investments,Equity Real Estate Investment Trusts ...,1960
4808,ROIV,Roivant Sciences,Biotechnology,2990
4809,ROK,Rockwell Automation,Electrical Equipment,23990
4810,ROKU,"Roku, Inc.",Entertainment,11660
4811,ROL,Rollins,Commercial Services & Supplies,17530
4812,ROLL,RBC Bearings,Machinery,6110
4813,RONI,Rice Acquisition II,Blank Check / SPAC,421
4814,ROOT,"Root, Inc.",Insurance,264
4815,ROP,Roper Technologies,Industrial Conglomerates,41850
4816,ROSE,Rose Hill Acquisition,Blank Check / SPAC,195
4817,ROSS,Ross Acquisition II,Blank Check / SPAC,424
4818,ROST,Ross Stores,Specialty Retail,27290
4819,ROVR,Rover Group,Personal Services,716
4820,RPAY,Repay Holdings,IT Services,1200
4821,RPD,Rapid7,Software,4010
4822,RPHM,Reneo Pharmaceuticals,Biotechnology,72
4823,RPID,Rapid Micro Biosystems,Wireless Telecommunication Services,179
4824,RPM,RPM International,Chemicals,10610
4825,RPRX,Royalty Pharma,Pharmaceuticals,29540
4826,RPT,RPT Realty,Equity Real Estate Investment Trusts ...,857
4827,RPTX,Repare Therapeutics,Biotechnology,610
4828,RRAC,Rigel Resource Acquisition,Blank Check / SPAC,375
4829,RRBI,Red River Bancshares,Banks,394
4830,RRC,Range Resources,"Oil, Gas & Consumable Fuels",7290
4831,RRGB,Red Robin Gourmet Burgers,"Hotels, Restaurants & Leisure",128
4832,RRR,Red Rock Resorts,"Hotels, Restaurants & Leisure",2100
4833,RRX,Regal Rexnord,Specialty Industrial Machinery,7690
4834,RS,Reliance Steel & Aluminum Co.,Metals & Mining,10930
4835,RSG,Republic Services,Commercial Services & Supplies,40750
4836,RSI,Rush Street Interactive,Gambling,1200
4837,RSKD,Riskified,Software-Application,666
4838,RSLS,ReShape Lifesciences,Health Care Equipment & Supplies,10
4839,RSSS,Research Solutions,IT Services,47
4840,RSVR,Reservoir Media,Entertainment,396
4841,RTL,Necessity Retail REIT,REIT-Diversified,1020
4842,RTLR,Rattler Midstream LP,"Oil, Gas & Consumable Fuels",1790
4843,RTX,Raytheon Technologies,Aerospace & Defense,135680
4844,RUBY,Rubius Therapeutics,Biotechnology,75
4845,RUN,SunRun,Electrical Equipment,4950
4846,RUSHA,Rush Enterprises,Trading Companies & Distributors,2770
4847,RUSHB,Rush Enterprises,Auto & Truck Dealerships,2770
4848,RUTH,Ruth's Hospitality Group,"Hotels, Restaurants & Leisure",552
4849,RVAC,Riverview Acquisition,Blank Check / SPAC,310
4850,RVLP,RVL Pharmaceuticals,Biotechnology,106
4851,RVLV,Revolve Group,Internet & Direct Marketing Retail,1990
4852,RVMD,Revolution Medicines,Biotechnology,1730
4853,RVNC,Revance Therapeutics,Pharmaceuticals,1100
4854,RVP,Retractable Technologies,Health Care Equipment & Supplies,153
4855,RVPH,Reviva Pharmaceuticals Holdings,Biotechnology,15
4856,RVSB,Riverview Bancorp,Thrifts & Mortgage Finance,145
4857,RVSN,Rail Vision,Industrials,12
4858,RWAY,Runway Growth Finance,Credit Services,506
4859,RWLK,ReWalk Robotics,Health Care Equipment & Supplies,63
4860,RWOD,Redwoods Acquisition,Blank Check / SPAC,138
4861,RWT,Redwood Trust,Mortgage Real Estate Investment Trust...,959
4862,RXDX,Prometheus Biosciences,Biotechnology,1160
4863,RXRA,RXR Acquisition,Blank Check / SPAC,421
4864,RXRX,Recursion Pharmaceuticals,Biotechnology,1460
4865,RXST,RxSight,Medical Devices,394
4866,RXT,Rackspace Technology,Software-Infrastructure,1260
4867,RY,Royal Bank of Canada,Banks,127760
4868,RYAAY,Ryanair Holdings,Airlines,15670
4869,RYAM,Rayonier Advanced Materials,Chemicals,180
4870,RYAN,Ryan Specialty Group Holdings,Insurance-Specialty,10250
4871,RYI,Ryerson Holding,Metals & Mining,859
4872,RYN,Rayonier,Equity Real Estate Investment Trusts ...,5150
4873,RYTM,Rhythm Pharmaceuticals,Biotechnology,504
4874,RZLT,Rezolute,Biotechnology,101
4875,S,SentinelOne,Software-Infrastructure,6650
4876,SA,Seabridge Gold,Metals & Mining,997
4877,SABR,Sabre,IT Services,1850
4878,SABS,SAB Biotherapeutics,Biotechnology,51
4879,SACH,Sachem Capital,Thrifts & Mortgage Finance,168
4880,SAFE,Safehold,Equity Real Estate Investment Trusts ...,2450
4881,SAFM,Sanderson Farms,Food Products,4750
4882,SAFT,Safety Insurance Group,Insurance,1380
4883,SAGA,Sagaliam Acquisition,Blank Check / SPAC,141
4884,SAGE,Sage Therapeutics,Biotechnology,2080
4885,SAH,Sonic Automotive,Specialty Retail,1450
4886,SAI,SAI.TECH Global,Software Publishers,93
4887,SAIA,"Saia, Inc.",Road & Rail,5170
4888,SAIC,Science Applications International,IT Services,5090
4889,SAIL,SailPoint Technologies Holdings,Software,6000
4890,SAL,Salisbury Bancorp,Banks,133
4891,SALM,Salem Media Group,Media,59
4892,SAM,The Boston Beer Company,Beverages,3950
4893,SAMA,Schultze Special Purpose Acquisition II,Blank Check / SPAC,203
4894,SAMG,Silvercrest Asset Management Group,Capital Markets,163
4895,SAN,Banco Santander,Banks,40500
4896,SANA,Sana Biotechnology,Biotechnology,1440
4897,SANB,Sanaby Health Acquisition I,Blank Check / SPAC,225
4898,SAND,Sandstorm Gold,Metals & Mining,1130
4899,SANG,Sangoma Technologies,Software-Infrastructure,171
4900,SANM,Sanmina,"Electronic Equipment, Instruments & C...",2560
4901,SANW,S&W Seed Company,Food Products,41
4902,SAP,SAP SE,Software,103800
4903,SAR,Saratoga Investment,Capital Markets,279
4904,SASI,Sigma Additive Solutions,Information Technology Services,13
4905,SASR,Sandy Spring Bancorp,Banks,1730
4906,SATL,Satellogic,Scientific & Technical Instruments,352
4907,SATS,EchoStar,Communications Equipment,1570
4908,SAVA,Cassava Sciences,Pharmaceuticals,958
4909,SAVE,Spirit Airlines,Airlines,2660
4910,SB,Safe Bulkers,Marine,409
4911,SBAC,SBA Communications,Equity Real Estate Investment Trusts ...,34590
4912,SBCF,Seacoast Banking Corporation of Florida,Banks,2009
4913,SBET,SharpLink Gaming,Gambling,21
4914,SBEV,Splash Beverage Group,Beverages-Brewers,117
4915,SBFG,SB Financial Group,Banks,121
4916,SBGI,Sinclair Broadcast Group,Media,1480
4917,SBH,Sally Beauty Holdings,Specialty Retail,1330
4918,SBIG,SpringBig Holdings,Shell Companies,44
4919,SBII,Sandbridge X2,Blank Check / SPAC,291
4920,SBLK,Star Bulk Carriers,Marine,2440
4921,SBNY,Signature Bank,Banks,12060
4922,SBOW,SilverBow Resources,"Oil, Gas & Consumable Fuels",652
4923,SBR,Sabine Royalty Trust,"Oil, Gas & Consumable Fuels",898
4924,SBRA,Sabra Health Care REIT,Equity Real Estate Investment Trusts ...,3360
4925,SBS,Companhia de Saneamento Basico do Estado de Sao Paulo SABESP,Water Utilities,5430
4926,SBSI,Southside Bancshares,Banks,1180
4927,SBSW,Sibanye Stillwater,Metals & Mining,6310
4928,SBT,Sterling Bancorp,Thrifts & Mortgage Finance,299
4929,SBTX,Silverback Therapeutics,Biotechnology,154
4930,SBUX,Starbucks,"Hotels, Restaurants & Leisure",91320
4931,SCAQ,Stratim Cloud Acquisition,Blank Check / SPAC,305
4932,SCCO,Southern Copper,Metals & Mining,36300
4933,SCHL,Scholastic,Media,1200
4934,SCHN,Schnitzer Steel Industries,Metals & Mining,921
4935,SCHW,The Charles Schwab Corporation,Capital Markets,117920
4936,SCI,Service Corporation International,Diversified Consumer Services,11070
4937,SCKT,Socket Mobile,"Technology Hardware, Storage & Periph...",22
4938,SCL,Stepan Company,Chemicals,2240
4939,SCLE,Broadscale Acquisition,Blank Check / SPAC,425
4940,SCM,Stellus Capital Investment,Capital Markets,238
4941,SCMA,Seaport Calibre Materials Acquisition,Blank Check / SPAC,162
4942,SCOA,ScION Tech Growth I,Blank Check / SPAC,710
4943,SCOB,ScION Tech Growth II,Blank Check / SPAC,423
4944,SCOR,Comscore,Media,176
4945,SCPH,scPharmaceuticals,Pharmaceuticals,139
4946,SCPL,SciPlay,Entertainment,323
4947,SCPS,Scopus Biopharma,Biotechnology,7
4948,SCRM,Screaming Eagle Acquisition,Blank Check / SPAC,900
4949,SCS,Steelcase,Commercial Services & Supplies,1200
4950,SCSC,ScanSource,"Electronic Equipment, Instruments & C...",772
4951,SCTL,Societal CDMO,Drug Manufacturers-Specialty & Generic,45
4952,SCU,Sculptor Capital Management,Capital Markets,222
4953,SCUA,Sculptor Acquisition I,Blank Check / SPAC,286
4954,SCVL,Shoe Carnival,Specialty Retail,575
4955,SCVX,SCVX Corp.,Shell Companies,95
4956,SCWO,374Water,Pollution & Treatment Controls,255
4957,SCWX,SecureWorks,Software,858
4958,SCX,The L.S. Starrett Company,Machinery,46
4959,SCYX,SCYNEXIS,Pharmaceuticals,67
4960,SD,SandRidge Energy,"Oil, Gas & Consumable Fuels",585
4961,SDAC,Sustainable Development Acquisition I,Blank Check / SPAC,388
4962,SDC,SmileDirectClub,Health Care Equipment & Supplies,403
4963,SDGR,Schrodinger,Health Care Technology,2280
4964,SDH,Global Internet of People,Consulting Services,45
4965,SDIG,Stronghold Digital Mining,Internet Software & Services,36
4966,SDPI,Superior Drilling Products,Energy Equipment & Services,24
4967,SE,Sea Limited,Entertainment,38840
4968,SEAC,SeaChange International,Software,29
4969,SEAS,SeaWorld Entertainment,"Hotels, Restaurants & Leisure",3030
4970,SEAT,Vivid Seats,Internet Content & Information,1620
4971,SEB,Seaboard,Food Products,4320
4972,SECO,Secoo Holding,Internet & Direct Marketing Retail,17
4973,SEDA,SDCL EDGE Acquisition,Blank Check / SPAC,244
4974,SEDG,SolarEdge Technologies,Semiconductors & Semiconductor Equipment,14720
4975,SEE,Sealed Air,Containers & Packaging,8270
4976,SEED,Origin Agritech,Food Products,52
4977,SEEL,Seelos Therapeutics,Pharmaceuticals,95
4978,SEER,"Seer, Inc.",Life Sciences Tools & Services,638
4979,SEIC,SEI Investments Company,Capital Markets,7270
4980,SELB,Selecta Biosciences,Biotechnology,259
4981,SELF,Global Self Storage,Equity Real Estate Investment Trusts ...,62
4982,SEM,Select Medical Holdings,Health Care Providers & Services,3450
4983,SEMR,SEMrush Holdings,Software,1640
4984,SENEA,Seneca Foods,Food Products,464
4985,SENEB,Seneca Foods,Food Products,464
4986,SENS,Senseonics Holdings,Health Care Equipment & Supplies,532
4987,SERA,Sera Prognostics,Diagnostics & Research,52
4988,SES,SES AI,Auto Parts,1690
4989,SESN,Sesen Bio,Biotechnology,179
4990,SEV,Sono Group,Auto Manufacturers,225
4991,SEVN,Seven Hills Realty Trust,REIT-Mortgage,157
4992,SF,Stifel Financial,Capital Markets,5870
4993,SFBC,Sound Financial Bancorp,Banks,98
4994,SFBS,ServisFirst Bancshares,Banks,4320
4995,SFE,Safeguard Scientifics,Capital Markets,64
4996,SFET,Safe-T Group,Software,15
4997,SFIX,Stitch Fix,Internet & Direct Marketing Retail,601
4998,SFL,SFL Corporation Ltd.,"Oil, Gas & Consumable Fuels",1310
4999,SFM,Sprouts Farmers Market,Food & Staples Retailing,3010
5000,SFNC,Simmons First National,Banks,2730
5001,SFST,Southern First Bancshares,Banks,365
5002,SFT,Shift Technologies,Auto & Truck Dealerships,91
5003,SG,Sweetgreen,Restaurants,1680
5004,SGA,Saga Communications,Media,141
5005,SGBX,SG Blocks,Machinery,20
5006,SGC,Superior Group of Companies,"Textiles, Apparel & Luxury Goods",293
5007,SGEN,Seagen,Biotechnology,32900
5008,SGFY,Signify Health,Health Information Services,3850
5009,SGH,SMART Global Holdings,Semiconductors & Semiconductor Equipment,885
5010,SGHC,Super Group (SGHC),Gambling,2029
5011,SGHL,Signal Hill Acquisition,Blank Check / SPAC,124
5012,SGHT,Sight Sciences,Medical Devices,423
5013,SGII,Seaport Global Acquisition II,Blank Check / SPAC,179
5014,SGLY,Singularity Future Technology,Integrated Freight & Logistics,74
5015,SGMA,SigmaTron International,"Electronic Equipment, Instruments & C...",48
5016,SGML,Sigma Lithium,Other Industrial Metals & Mining,1450
5017,SGMO,Sangamo Therapeutics,Biotechnology,665
5018,SGRP,SPAR Group,Media,25
5019,SGRY,Surgery Partners,Health Care Providers & Services,3030
5020,SGTX,Sigilon Therapeutics,Biotechnology,27
5021,SGU,Star Group,Gas Utilities,352
5022,SHAC,SCP & CO Healthcare Acquisition Company,Blank Check / SPAC,282
5023,SHAK,Shake Shack,"Hotels, Restaurants & Leisure",1960
5024,SHAP,Spree Acquisition 1,Blank Check / SPAC,250
5025,SHBI,Shore Bancshares,Banks,370
5026,SHC,Sotera Health Company,Diagnostics & Research,5230
5027,SHCA,Spindletop Health Acquisition,Blank Check / SPAC,258
5028,SHCR,Sharecare,Health Information Services,548
5029,SHEL,Shell,"Oil, Gas & Consumable Fuels",174550
5030,SHEN,Shenandoah Telecommunications Company,Wireless Telecommunication Services,1070
5031,SHG,Shinhan Financial Group Co.,Banks,13530
5032,SHI,Sinopec Shanghai Petrochemical Company,Chemicals,3840
5033,SHIP,Seanergy Maritime Holdings,Marine,129
5034,SHLS,Shoals Technologies Group,Solar,1820
5035,SHLX,Shell Midstream Partners,"Oil, Gas & Consumable Fuels",5620
5036,SHO,Sunstone Hotel Investors,Equity Real Estate Investment Trusts ...,2090
5037,SHOO,Steven Madden,"Textiles, Apparel & Luxury Goods",2540
5038,SHOP,Shopify,IT Services,39440
5039,SHPW,Shapeways Holdings,Specialty Industrial Machinery,46
5040,SHQA,Shelter Acquisition I,Blank Check / SPAC,272
5041,SHUA,SHUAA Partners Acquisition Corp I,Blank Check / SPAC,124
5042,SHW,The Sherwin-Williams Company,Chemicals,63880
5043,SHYF,The Shyft Group,Machinery,725
5044,SI,Silvergate Capital,Banks,1950
5045,SIBN,SI-BONE,Health Care Equipment & Supplies,435
5046,SID,Companhia Siderurgica Nacional,Metals & Mining,3490
5047,SIDU,Sidus Space,Aerospace & Defense,47
5048,SIEB,Siebert Financial,Capital Markets,50
5049,SIEN,Sientra,Health Care Equipment & Supplies,52
5050,SIER,Sierra Lake Acquisition,Blank Check / SPAC,382
5051,SIF,SIFCO Industries,Aerospace & Defense,18
5052,SIFY,Sify Technologies,Diversified Telecommunication Services,370
5053,SIG,Signet Jewelers,Specialty Retail,2570
5054,SIGA,SIGA Technologies,Pharmaceuticals,1080
5055,SIGI,Selective Insurance Group,Insurance,4980
5056,SII,Sprott,Capital Markets,857
5057,SILC,Silicom,Communications Equipment,231
5058,SILK,Silk Road Medical,Health Care Equipment & Supplies,1370
5059,SILV,SilverCrest Metals,Metals & Mining,820
5060,SIM,Grupo Simec,Metals & Mining,4580
5061,SIMO,Silicon Motion Technology,Semiconductors & Semiconductor Equipment,2850
5062,SINT,SINTX Technologies,Health Care Equipment & Supplies,11
5063,SIOX,Sio Gene Therapies,Biotechnology,27
5064,SIRE,Sisecam Resources LP,Chemicals,356
5065,SIRI,Sirius XM Holdings,Media,24990
5066,SISI,Shineco,Personal Products,15
5067,SITC,SITE Centers,Equity Real Estate Investment Trusts ...,2870
5068,SITE,SiteOne Landscape Supply,Trading Companies & Distributors,5520
5069,SITM,SiTime,Semiconductors & Semiconductor Equipment,3330
5070,SIVB,SVB Financial Group,Banks,24050
5071,SIX,Six Flags Entertainment,"Hotels, Restaurants & Leisure",1850
5072,SJ,Scienjoy Holding,Broadcasting,209
5073,SJI,South Jersey Industries,Gas Utilities,4160
5074,SJM,The J. M. Smucker Company,Food Products,14040
5075,SJR,Shaw Communications,Media,13210
5076,SJT,San Juan Basin Royalty Trust,"Oil, Gas & Consumable Fuels",498
5077,SJW,SJW Group,Water Utilities,1920
5078,SKE,Skeena Resources,Other Industrial Metals & Mining,296
5079,SKGR,SK Growth Opportunities,Blank Check / SPAC,249
5080,SKIL,Skillsoft,Education & Training Services,647
5081,SKIN,The Beauty Health Company,Household & Personal Products,1960
5082,SKLZ,Skillz,Entertainment,528
5083,SKM,SK Telecom Co.,Wireless Telecommunication Services,8980
5084,SKT,Tanger Factory Outlet Centers,Equity Real Estate Investment Trusts ...,1620
5085,SKX,Skechers USA,"Textiles, Apparel & Luxury Goods",5720
5086,SKY,Skyline Champion,Household Durables,3140
5087,SKYA,Skydeck Acquisition,Blank Check / SPAC,270
5088,SKYH,Sky Harbour Group,Independent Power and Renewable Elect...,575
5089,SKYT,SkyWater Technology,Semiconductors,309
5090,SKYW,SkyWest,Airlines,1090
5091,SKYX,SQL Technologies,Consumer Electronics,276
5092,SLAB,Silicon Laboratories,Semiconductors & Semiconductor Equipment,4750
5093,SLAC,Social Leverage Acquisition I,Blank Check / SPAC,422
5094,SLAM,Slam Corp.,Blank Check / SPAC,705
5095,SLB,Schlumberger,Energy Equipment & Services,45650
5096,SLCA,U.S. Silica Holdings,Energy Equipment & Services,771
5097,SLCR,Silver Crest Acquisition,Blank Check / SPAC,426
